	RI	Na	Mg	Al	Si	K	Ca	Ba	Fe	Type
0	1.5172	13.38	3.5	1.15	72.85	0.5	8.43	0.0	0.0	1
1	1.51631	13.34	3.57	1.57	72.87	0.61	7.89	0.0	0.0	2
3	1.52043	13.38	0.0	1.4	72.25	0.33	12.5	0.0	0.0	5
6	1.51793	13.21	3.48	1.41	72.64	0.59	8.43	0.0	0.0	1
9	1.523	13.31	3.58	0.82	71.99	0.12	10.17	0.0	0.03	1
11	1.51617	14.95	0.0	2.27	73.3	0.0	8.71	0.67	0.0	7
17	1.51514	14.01	2.68	3.5	69.89	1.68	5.87	2.2	0.0	5
21	1.51793	12.79	3.5	1.12	73.03	0.64	8.77	0.0	0.0	1
23	1.52172	13.51	3.86	0.88	71.79	0.23	9.54	0.0	0.11	1
25	1.51763	12.61	3.59	1.31	73.29	0.58	8.5	0.0	0.0	1
28	1.52725	13.8	3.15	0.66	70.57	0.08	11.64	0.0	0.0	2
29	1.51662	12.85	3.51	1.44	73.01	0.68	8.23	0.06	0.25	2
31	1.51831	14.39	0.0	1.82	72.86	1.41	6.47	2.88	0.0	7
32	1.51687	13.23	3.54	1.48	72.84	0.56	8.1	0.0	0.0	2
34	1.51892	13.46	3.83	1.26	72.55	0.57	8.21	0.0	0.14	2
35	1.51743	13.3	3.6	1.14	73.09	0.58	8.17	0.0	0.0	1
36	1.51829	13.24	3.9	1.41	72.33	0.55	8.31	0.0	0.1	2
38	1.51646	13.41	3.55	1.25	72.81	0.68	8.1	0.0	0.0	2
39	1.51711	12.89	3.62	1.57	72.96	0.61	8.11	0.0	0.0	2
41	1.51753	12.57	3.47	1.38	73.39	0.6	8.55	0.0	0.06	1
42	1.5164	14.37	0.0	2.74	72.85	0.0	9.45	0.54	0.0	7
47	1.52172	13.48	3.74	0.9	72.01	0.18	9.61	0.0	0.07	1
48	1.51888	14.99	0.78	1.74	72.5	0.0	9.95	0.0	0.0	6
49	1.51663	12.93	3.54	1.62	72.96	0.64	8.03	0.0	0.21	2
50	1.51409	14.25	3.09	2.08	72.28	1.1	7.08	0.0	0.0	2
53	1.51905	13.6	3.62	1.11	72.64	0.14	8.76	0.0	0.0	1
57	1.52119	12.97	0.33	1.51	73.39	0.13	11.27	0.0	0.28	5
58	1.51645	14.94	0.0	1.87	73.11	0.0	8.67	1.38	0.0	7
64	1.51747	12.84	3.5	1.14	73.27	0.56	8.55	0.0	0.0	1
65	1.52315	13.44	3.34	1.23	72.38	0.6	8.83	0.0	0.0	7
67	1.51605	12.9	3.44	1.45	73.06	0.44	8.27	0.0	0.0	2
68	1.51625	13.36	3.58	1.49	72.72	0.45	8.21	0.0	0.0	2
69	1.5159	13.02	3.58	1.51	73.12	0.69	7.96	0.0	0.0	2
70	1.51761	12.81	3.54	1.23	73.24	0.58	8.39	0.0	0.0	1
72	1.5166	12.99	3.18	1.23	72.97	0.58	8.81	0.0	0.24	2
77	1.51567	13.29	3.45	1.21	72.74	0.56	8.57	0.0	0.0	1
78	1.52081	13.78	2.28	1.43	71.99	0.49	9.85	0.0	0.17	2
79	1.51994	13.27	0.0	1.76	73.03	0.47	11.32	0.0	0.0	5
81	1.51594	13.09	3.52	1.55	72.87	0.68	8.05	0.0	0.09	2
82	1.51689	12.67	2.88	1.71	73.21	0.73	8.54	0.0	0.0	2
84	1.51652	13.56	3.57	1.47	72.45	0.64	7.96	0.0	0.0	2
85	1.51966	14.77	3.75	0.29	72.02	0.03	9.0	0.0	0.0	1
87	1.51685	14.92	0.0	1.99	73.06	0.0	8.4	1.59	0.0	7
88	1.51769	13.65	3.66	1.11	72.77	0.11	8.6	0.0	0.0	3
91	1.5202	13.98	1.35	1.63	71.76	0.39	10.56	0.0	0.18	2
93	1.52152	13.05	3.65	0.87	72.32	0.19	9.85	0.0	0.17	1
94	1.51769	12.45	2.71	1.29	73.7	0.56	9.06	0.0	0.24	1
95	1.51569	13.24	3.49	1.47	73.25	0.38	8.03	0.0	0.0	2
98	1.51898	13.58	3.35	1.23	72.08	0.59	8.91	0.0	0.0	1
99	1.51743	12.2	3.25	1.16	73.55	0.62	8.9	0.0	0.24	2
100	1.51655	12.75	2.85	1.44	73.27	0.57	8.79	0.11	0.22	2
102	1.51683	14.56	0.0	1.98	73.29	0.0	8.52	1.57	0.07	7
103	1.5169	13.33	3.54	1.61	72.54	0.68	8.11	0.0	0.0	2
105	1.51786	12.73	3.43	1.19	72.95	0.62	8.76	0.0	0.3	1
113	1.51969	14.56	0.0	0.56	73.48	0.0	11.22	0.0	0.0	6
114	1.52227	14.17	3.81	0.78	71.35	0.0	9.69	0.0	0.0	1
115	1.5241	13.83	2.9	1.17	71.15	0.08	10.79	0.0	0.0	2
117	1.51618	13.01	3.5	1.48	72.89	0.6	8.12	0.0	0.0	2
119	1.51623	14.2	0.0	2.79	73.46	0.04	9.04	0.4	0.09	7
120	1.51775	12.85	3.48	1.23	72.97	0.61	8.56	0.09	0.22	1
121	1.5186	13.36	3.43	1.43	72.26	0.51	8.6	0.0	0.0	2
125	1.51707	13.48	3.48	1.71	72.52	0.62	7.99	0.0	0.0	2
127	1.51937	13.79	2.41	1.19	72.76	0.0	9.77	0.0	0.0	6
128	1.51645	13.4	3.49	1.52	72.65	0.67	8.08	0.0	0.1	2
131	1.51651	14.38	0.0	1.94	73.61	0.0	8.48	1.57	0.0	7
132	1.51796	13.5	3.36	1.63	71.94	0.57	8.81	0.0	0.09	3
133	1.52614	13.7	0.0	1.36	71.24	0.19	13.44	0.0	0.1	2
134	1.51755	13.0	3.6	1.36	72.99	0.57	8.4	0.0	0.11	1
140	1.5159	13.24	3.34	1.47	73.1	0.39	8.22	0.0	0.0	2
142	1.5159	12.82	3.52	1.9	72.86	0.69	7.97	0.0	0.0	2
147	1.52196	14.36	3.85	0.89	71.36	0.15	9.15	0.0	0.0	1
148	1.51574	14.86	3.67	1.74	71.87	0.16	7.36	0.0	0.12	2
150	1.51779	13.21	3.39	1.33	72.76	0.59	8.59	0.0	0.0	1
151	1.51736	12.78	3.62	1.29	72.79	0.59	8.7	0.0	0.0	1
156	1.51666	12.86	0.0	1.83	73.88	0.97	10.17	0.0	0.0	5
163	1.5164	12.55	3.48	1.87	73.23	0.63	8.08	0.0	0.09	2
164	1.51754	13.39	3.66	1.19	72.79	0.57	8.27	0.0	0.11	1
165	1.51623	14.14	0.0	2.88	72.61	0.08	9.18	1.06	0.0	7
166	1.51813	13.43	3.98	1.18	72.49	0.58	8.15	0.0	0.0	2
167	1.51848	13.64	3.87	1.27	71.96	0.54	8.32	0.0	0.32	2
169	1.51674	12.79	3.52	1.54	73.36	0.66	7.9	0.0	0.0	2
171	1.51592	12.86	3.52	2.12	72.66	0.69	7.97	0.0	0.0	2
172	1.53393	12.3	0.0	1.0	70.16	0.12	16.19	0.0	0.24	2
173	1.51841	13.02	3.62	1.06	72.34	0.64	9.13	0.0	0.15	2
174	1.52177	13.75	1.01	1.36	72.19	0.33	11.14	0.0	0.0	2
175	1.51784	12.68	3.67	1.16	73.11	0.61	8.7	0.0	0.0	1
177	1.51215	12.99	3.47	1.12	72.98	0.62	8.35	0.0	0.31	1
179	1.51596	13.02	3.56	1.54	73.11	0.72	7.9	0.0	0.0	2
181	1.52177	13.2	3.68	1.15	72.75	0.54	8.52	0.0	0.0	2
182	1.5167	13.24	3.57	1.38	72.7	0.56	8.44	0.0	0.1	3
183	1.51655	13.41	3.39	1.28	72.64	0.52	8.65	0.0	0.0	3
184	1.51977	13.81	3.58	1.32	71.72	0.12	8.67	0.69	0.0	1
185	1.51838	14.32	3.26	2.22	71.25	1.46	5.79	1.63	0.0	7
188	1.51909	13.89	3.53	1.32	71.81	0.51	8.78	0.11	0.0	1
190	1.52247	14.86	2.2	2.06	70.26	0.76	9.76	0.0	0.0	7
192	1.52213	14.21	3.82	0.47	71.77	0.11	9.57	0.0	0.0	1
193	1.52369	13.44	0.0	1.58	72.22	0.32	12.24	0.0	0.0	5
195	1.51806	13.0	3.8	1.08	73.07	0.56	8.38	0.0	0.12	2
200	1.51613	13.92	3.52	1.25	72.88	0.37	7.94	0.0	0.14	2
201	1.52101	13.64	4.49	1.1	71.78	0.06	8.75	0.0	0.0	1
203	1.51645	13.44	3.61	1.54	72.39	0.66	8.03	0.0	0.0	2
204	1.51934	13.64	3.54	0.75	72.65	0.16	8.89	0.15	0.24	3
206	1.5221	13.73	3.84	0.72	71.76	0.17	9.74	0.0	0.0	1
207	1.51847	13.1	3.97	1.19	72.44	0.6	8.43	0.0	0.0	2
210	1.51918	14.04	3.58	1.37	72.08	0.56	8.3	0.0	0.0	1
211	1.5173	12.35	2.72	1.63	72.87	0.7	9.23	0.0	0.0	2
212	1.51299	14.4	1.74	1.54	74.55	0.0	7.59	0.0	0.0	6
